date,value
2052-02-29,0.0134
2052-03-31,0.0123
2052-04-30,0.0098
2052-05-31,0.0045
2052-06-30,0.0151
2052-07-31,0.0083
2052-08-31,0.0061
2052-09-30,-0.0034
2052-10-31,0.0028
2052-11-30,0.0088
2052-12-31,0.0018
2053-01-31,0.0052
2053-02-28,0.01
2053-03-31,0.0032
2053-04-30,0.0113
2053-05-31,0.0115
2053-06-30,0.0018
2053-07-31,0.0016
2053-08-31,-0.0006
2053-09-30,0.0054
2053-10-31,-0.0051
2053-11-30,0.0062
2053-12-31,0.0107
2054-01-31,-0.0025
2054-02-28,0.0099
2054-03-31,0.004
2054-04-30,0.0111
2054-05-31,0.0073
2054-06-30,0.0031
2054-07-31,0.0051
2054-08-31,0.0037
2054-09-30,0.0097
2054-10-31,0.0068
2054-11-30,0.0184
2054-12-31,0.0021
2055-01-31,0.0101
2055-02-28,0.0036
2055-03-31,0.0125
2055-04-30,0.009
2055-05-31,0.0036
2055-06-30,0.0048
2055-07-31,0.0142
2055-08-31,0.0072
2055-09-30,0.0049
2055-10-31,0.0129
2055-11-30,0.0103
2055-12-31,0.0026
2056-01-31,0.0066
2056-02-29,0.0048
2056-03-31,-0.0013
2056-04-30,0.0004
2056-05-31,0.0055
2056-06-30,0.0075
2056-07-31,0.0104
2056-08-31,0.0074
2056-09-30,0.0096
2056-10-31,0.0085
2056-11-30,0.0063
2056-12-31,0.007
2057-01-31,-0.0034
2057-02-28,-0.0016
2057-03-31,0.0077
2057-04-30,0.0096
2057-05-31,0.0043
2057-06-30,0.0037
2057-07-31,0.0095
2057-08-31,0.0041
2057-09-30,0.0045
2057-10-31,0.0082
2057-11-30,0.0005
2057-12-31,0.0031
2058-01-31,0.0109
2058-02-28,0.01
2058-03-31,0.0036
2058-04-30,0.007
2058-05-31,0.0152
2058-06-30,0.0075
2058-07-31,0.0138
2058-08-31,-0.0008
2058-09-30,-0.001
2058-10-31,0.0117
2058-11-30,0.0096
2058-12-31,-0.0019
2059-01-31,0.0011
2059-02-28,0.0048
2059-03-31,0.0063
2059-04-30,0.01
2059-05-31,0.0082
2059-06-30,0.013
2059-07-31,0.0111
2059-08-31,0.0104
2059-09-30,0.0099
2059-10-31,0.0022
2059-11-30,0.0074
2059-12-31,0.0052
2060-01-31,0.004
2060-02-29,0.0013
2060-03-31,-0.0007
2060-04-30,0.0009
2060-05-31,-0.0014
2060-06-30,0.0154
2060-07-31,0.0044
2060-08-31,0.0061
2060-09-30,0.0111
2060-10-31,0.0052
2060-11-30,0.0127
2060-12-31,0.004
2061-01-31,0.0116
2061-02-28,0.0042
2061-03-31,0.0026
2061-04-30,0.0033
2061-05-31,0.0111
2061-06-30,0.0029
2061-07-31,-0.0031
2061-08-31,0.0012
2061-09-30,0.0069
2061-10-31,0.0023
2061-11-30,0.0046
2061-12-31,0.0099
2062-01-31,0.0102
2062-02-28,0.0126
2062-03-31,0.0016
2062-04-30,0.0085
2062-05-31,0.016
2062-06-30,0.0047
2062-07-31,0.0069
2062-08-31,0.0039
2062-09-30,0.003
2062-10-31,0.0102
2062-11-30,0.0001
2062-12-31,0.0075
2063-01-31,0.0023
2063-02-28,0.0034
2063-03-31,0.0029
2063-04-30,0.0092
2063-05-31,0.006
2063-06-30,-0.0003
2063-07-31,0.0075
2063-08-31,0.0087
2063-09-30,0.0069
2063-10-31,0.0068
2063-11-30,0.0048
2063-12-31,0.0051
2064-01-31,0.0095
2064-02-29,0.0081
2064-03-31,0.0073
